timestamp,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,marker
1789861800.210524,13855.814999999999,29989.215,52063.92,41274.63,29171.204999999998,21242.07,16825.77,-125.235,0.0
1789861800.2105398,13845.555,29981.655,52039.305,41254.244999999995,29166.704999999998,21227.579999999998,16816.635,-136.62,0.0
1789861800.2105565,13845.689999999999,29989.485,52054.74,41258.295,29168.864999999998,21234.555,16805.565,-139.545,0.0
1789861800.2105625,13847.355,29996.01,52091.954999999994,41276.43,29170.8,21238.155,16806.51,-136.125,0.0
1789861800.2135823,13835.654999999999,29975.76,52083.494999999995,41282.729999999996,29172.465,21240.27,16810.38,-144.495,0.0
1789861800.2135952,13833.855,29955.239999999998,52071.525,41278.77,29168.01,21235.41,16814.07,-143.415,0.0
1789861800.2187295,13828.59,29946.6,52072.2,41276.25,29169.225,21248.594999999998,16813.35,-145.755,0.0
1789861800.2187514,13842.0,29976.93,52045.335,41263.965,29157.524999999998,21222.495,16817.309999999998,-137.92499999999998,0.0
1789861800.2237089,13841.189999999999,30003.254999999997,52068.645,41242.005,29151.135,21245.445,16805.655,-142.2,0.0
1789861800.2237303,13848.93,29995.829999999998,52073.505,41257.125,29167.155,21258.855,16809.48,-134.82,0.0
1789861800.2263439,13870.26,30000.555,52067.88,41270.534999999996,29176.785,21254.535,16826.445,-116.05499999999999,0.0
1789861800.2263606,13859.865,29986.92,52079.67,41271.435,29172.285,21244.23,16824.375,-124.28999999999999,0.0
1789861800.2306921,13848.705,29978.504999999997,52086.015,41274.135,29175.795,21247.649999999998,16816.41,-135.0,0.0
1789861800.2307057,13865.445,29993.129999999997,52079.174999999996,41286.915,29196.539999999997,21280.094999999998,16816.77,-123.92999999999999,0.0
1789861800.2342117,13868.369999999999,29997.405,52073.775,41286.51,29195.235,21283.065,16818.21,-119.565,0.0
1789861800.2342243,13862.115,29995.515,52075.755,41279.625,29190.87,21281.535,16803.045,-123.21,0.0
1789861800.241487,13855.725,29984.489999999998,52071.299999999996,41265.72,29169.945,21250.53,16798.905,-128.745,0.0
1789861800.2415051,13858.425,29979.09,52082.595,41276.025,29170.71,21256.695,16808.309999999998,-127.97999999999999,0.0
1789861800.24506,13849.47,29964.149999999998,52071.84,41276.159999999996,29169.495,21256.695,16808.85,-135.315,0.0
1789861800.2450743,13861.664999999999,29970.27,52074.045,41291.055,29193.66,21283.2,16804.845,-125.145,0.0
1789861800.246476,13862.88,29975.265,52091.909999999996,41294.97,29191.905,21274.515,16805.655,-124.065,0.0
1789861800.2464907,13847.13,29969.1,52095.735,41286.555,29180.07,21259.215,16803.45,-141.345,0.0
1789861800.2507749,13853.43,29972.655,52063.064999999995,41268.825,29181.914999999997,21265.02,16799.355,-138.015,0.0
1789861800.2507892,13856.31,29984.085,52054.695,41265.72,29181.195,21266.684999999998,16797.6,-134.775,0.0
1789861800.2536926,13852.125,29978.145,52055.009999999995,41261.31,29177.46,21266.145,16813.305,-134.82,0.0
1789861800.2537096,13846.185,29949.39,52046.009999999995,41261.895,29184.704999999998,21274.11,16819.965,-135.315,0.0
1789861800.2585285,13854.644999999999,29960.73,52065.99,41271.525,29178.27,21268.395,16825.184999999998,-125.55,0.0
1789861800.2585416,13845.195,29971.35,52088.805,41274.81,29197.98,21280.274999999998,16813.079999999998,-140.94,0.0
1789861800.2613845,13849.244999999999,29954.16,52120.71,41289.705,29185.02,21267.135,16798.95,-134.595,0.0
1789861800.2613933,13850.595,29947.995,52088.534999999996,41272.47,29161.079999999998,21251.52,16783.559999999998,-130.23,0.0
1789861800.266082,13860.765,29965.14,52000.56,41257.485,29170.485,21262.635,16798.095,-118.125,0.0
1789861800.266096,13853.43,29971.98,52052.174999999996,41241.51,29175.21,21264.704999999998,16802.19,-129.015,0.0
1789861800.2703905,13843.26,29972.655,52047.81,41236.155,29159.594999999998,21242.88,16813.98,-140.17499999999998,0.0
1789861800.2704191,13847.85,29973.195,52056.134999999995,41251.005,29130.75,21224.61,16796.745,-139.23,0.0
1789861800.2729795,13851.135,29972.61,52059.284999999996,41259.96,29141.414999999997,21227.219999999998,16792.245,-135.99,0.0
1789861800.2729971,13855.095,29973.42,52086.689999999995,41275.619999999995,29171.969999999998,21249.765,16787.16,-132.075,0.0
1789861800.2800245,13851.135,29964.285,52069.77,41284.485,29185.829999999998,21267.0,16791.434999999998,-132.345,0.0
1789861800.28004,13838.355,29948.219999999998,52046.46,41264.865,29188.395,21262.41,16802.595,-141.435,0.0
1789861800.2839124,13836.779999999999,29959.379999999997,52061.759999999995,41287.905,29188.575,21258.27,16804.845,-148.59,0.0
1789861800.2839267,13860.9,29987.28,52059.555,41277.015,29130.48,21235.41,16802.73,-131.265,0.0
1789861800.2868505,13864.41,29988.36,52066.665,41265.54,29152.125,21245.445,16795.755,-124.64999999999999,0.0
1789861800.2868645,13851.81,29979.989999999998,52070.354999999996,41256.135,29145.87,21234.015,16765.335,-137.745,0.0
1789861800.2934976,13858.695,29989.35,52073.1,41269.545,29161.079999999998,21250.71,16749.36,-135.54,0.0
1789861800.293512,13852.529999999999,29982.285,52056.27,41265.854999999996,29162.789999999997,21249.585,16766.774999999998,-138.78,0.0
1789861800.2958589,13861.98,29982.645,52058.295,41277.06,29169.225,21247.695,16803.18,-128.20499999999998,0.0
