timestamp,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,marker
1789862285.4999833,18500.985,33453.36,56487.689999999995,40192.064999999995,31521.149999999998,21742.245,7172.054999999999,-721.62,0.0
1789862285.499997,18506.655,33454.08,56463.659999999996,40157.64,31534.379999999997,21736.844999999998,7152.12,-722.925,0.0
1789862285.5056553,18510.48,33461.325,56503.935,40241.385,31496.625,21718.035,7123.455,-721.755,0.0
1789862285.50568,18504.855,33464.52,56520.585,40251.555,31497.074999999997,21727.395,7133.759999999999,-727.56,0.0
1789862285.5068755,18506.295,33467.22,56507.31,40229.1,31502.385,21726.45,7125.12,-729.765,0.0
1789862285.5068903,18520.829999999998,33492.104999999996,56519.325,40234.545,31514.309999999998,21732.344999999998,7035.12,-727.29,0.0
1789862285.510512,18514.98,33447.869999999995,56503.17,40241.385,31515.614999999998,21734.28,6960.915,-725.5799999999999,0.0
1789862285.5105257,18511.559999999998,33445.89,56500.65,40211.46,31509.0,21731.625,7069.545,-718.38,0.0
1789862285.5146239,18521.594999999998,33478.38,56463.165,40160.52,31498.02,21726.809999999998,7219.17,-708.75,0.0
1789862285.5146396,18523.53,33476.985,56468.025,40171.635,31495.454999999998,21714.704999999998,7198.65,-704.79,0.0
1789862285.5171463,18523.71,33492.33,56497.994999999995,40183.064999999995,31518.495,21744.855,7117.74,-716.5799999999999,0.0
1789862285.5171676,18521.055,33483.104999999996,56477.295,40187.205,31526.504999999997,21766.68,7109.775,-719.055,0.0
1789862285.5217135,18522.045,33478.47,56495.43,40238.595,31514.309999999998,21699.719999999998,7147.125,-711.0899999999999,0.0
1789862285.5217822,18509.219999999998,33470.549999999996,56512.619999999995,40264.604999999996,31522.949999999997,21729.465,7151.04,-725.625,0.0
1789862285.526114,18508.184999999998,33464.385,56506.005,40243.229999999996,31531.364999999998,21760.02,7146.63,-725.805,0.0
1789862285.5261424,18510.434999999998,33466.185,56501.775,40234.229999999996,31526.73,21743.504999999997,7110.45,-727.605,0.0
1789862285.5306075,18520.469999999998,33483.33,56519.1,40246.02,31540.004999999997,21751.469999999998,7015.1849999999995,-730.0799999999999,0.0
1789862285.530633,18531.63,33500.25,56528.64,40256.145,31553.594999999998,21760.605,6935.58,-732.105,0.0
1789862285.5339038,18529.695,33496.244999999995,56532.104999999996,40273.244999999995,31564.934999999998,21757.68,6977.88,-741.24,0.0
1789862285.5339217,18501.795,33454.89,56524.005,40265.235,31547.879999999997,21742.785,7004.295,-761.22,0.0
1789862285.5442832,18509.985,33460.02,56555.595,40261.68,31545.18,21721.68,6975.36,-744.3,0.0
1789862285.5443072,18525.465,33496.74,56518.784999999996,40222.619999999995,31537.35,21724.605,7173.99,-708.39,0.0
1789862285.544331,18503.1,33473.159999999996,56481.795,40184.82,31557.059999999998,21767.805,7310.969999999999,-706.4549999999999,0.0
1789862285.5443408,18502.38,33450.345,56470.95,40197.555,31482.585,21740.535,7237.215,-713.2049999999999,0.0
1789862285.5453928,18504.0,33454.799999999996,56463.345,40204.979999999996,31490.414999999997,21725.055,7159.094999999999,-724.86,0.0
1789862285.5454233,18507.825,33462.45,56495.025,40219.695,31503.96,21727.8,7115.445,-727.0649999999999,0.0
1789862285.5497448,18515.385,33462.854999999996,56504.384999999995,40231.979999999996,31518.855,21738.059999999998,7094.384999999999,-721.98,0.0
1789862285.5497675,18513.989999999998,33465.195,56490.255,40222.71,31522.094999999998,21739.05,7116.57,-723.4649999999999,0.0
1789862285.5533056,18513.719999999998,33467.31,56528.505,40241.564999999995,31534.02,21753.27,7161.389999999999,-721.665,0.0
1789862285.5533235,18507.87,33465.869999999995,56539.439999999995,40241.7,31526.28,21739.905,7123.365,-727.155,0.0
1789862285.5599399,18515.969999999998,33485.58,56480.22,40224.78,31522.32,21734.774999999998,7113.24,-725.895,0.0
1789862285.5599532,18517.68,33483.735,56482.784999999996,40218.345,31523.67,21737.835,7118.19,-728.28,0.0
1789862285.5606883,18525.42,33488.46,56510.954999999994,40226.67,31529.61,21740.985,7109.235,-719.55,0.0
1789862285.5607,18517.59,33475.815,56507.265,40228.02,31534.559999999998,21746.7,7111.62,-722.88,0.0
1789862285.565904,18508.41,33462.494999999995,56484.405,40215.825,31538.114999999998,21751.469999999998,7140.554999999999,-723.78,0.0
1789862285.5659187,18510.344999999998,33474.825,56482.604999999996,40209.345,31526.55,21744.495,7137.675,-723.4649999999999,0.0
1789862285.5691345,18520.695,33476.895,56483.82,40212.09,31513.274999999998,21733.649999999998,7146.134999999999,-716.805,0.0
1789862285.5691507,18506.295,33461.055,56527.11,40246.47,31538.745,21743.415,7130.384999999999,-729.18,0.0
1789862285.5762062,18506.52,33473.475,56586.78,40257.405,31526.91,21730.23,7107.12,-732.4649999999999,0.0
1789862285.576229,18520.02,33483.51,56540.295,40229.82,31526.684999999998,21732.84,7070.67,-723.735,0.0
1789862285.5790884,18525.329999999998,33489.18,56482.47,40232.835,31536.719999999998,21725.055,7036.11,-724.635,0.0
1789862285.579105,18521.505,33493.635,56491.965,40218.03,31521.239999999998,21714.21,7085.745,-722.88,0.0
1789862285.5811613,18514.62,33474.555,56491.74,40221.135,31570.02,21761.594999999998,7162.11,-720.045,0.0
1789862285.5811772,18510.704999999998,33457.905,56486.475,40237.02,31512.195,21725.46,7144.38,-719.28,0.0
1789862285.587484,18504.27,33450.21,56465.954999999994,40218.479999999996,31503.239999999998,21732.3,7128.179999999999,-726.66,0.0
1789862285.5875025,18519.255,33481.89,56481.119999999995,40225.455,31528.98,21746.024999999998,7119.224999999999,-721.2149999999999,0.0
1789862285.5891073,18524.969999999998,33484.994999999995,56495.88,40238.775,31531.68,21736.395,7107.48,-716.985,0.0
1789862285.589124,18505.8,33470.19,56494.034999999996,40236.57,31527.945,21735.585,7063.29,-735.165,0.0
1789862285.594686,18507.375,33490.485,56512.575,40221.585,31510.125,21721.77,7014.6449999999995,-746.73,0.0
1789862285.5947108,18506.835,33481.979999999996,56551.77,40249.305,31529.114999999998,21731.805,7031.5199999999995,-744.3,0.0
1789862285.5979464,18511.02,33469.02,56543.265,40260.465,31537.215,21740.399999999998,7168.815,-719.37,0.0
1789862285.5979688,18516.105,33466.005,56491.424999999996,40224.555,31513.32,21726.54,7154.46,-715.005,0.0
1789862285.601296,18524.88,33499.71,56486.34,40209.659999999996,31523.085,21733.245,7089.12,-719.505,0.0
1789862285.6013186,18526.05,33518.34,56517.165,40224.6,31531.545,21727.71,7104.285,-723.4649999999999,0.0
1789862285.6060953,18522.045,33498.27,56522.475,40245.119999999995,31526.37,21727.934999999998,7136.82,-722.79,0.0
1789862285.6061203,18511.29,33472.799999999996,56504.97,40236.119999999995,31533.344999999998,21747.285,7107.165,-725.7149999999999,0.0
1789862285.609586,18513.045,33474.015,56465.235,40217.13,31546.35,21761.055,7081.469999999999,-727.8299999999999,0.0
1789862285.6096096,18514.575,33471.54,56463.165,40241.61,31532.085,21764.835,7111.9349999999995,-728.01,0.0
1789862285.613873,18526.184999999998,33482.835,56514.195,40225.545,31535.91,21752.594999999998,7159.32,-709.6949999999999,0.0
1789862285.6138954,18514.53,33480.09,56566.395,40222.979999999996,31506.57,21722.265,7156.035,-716.805,0.0
1789862285.6172414,18504.405,33468.84,56521.53,40234.905,31525.335,21743.64,7124.67,-728.01,0.0
1789862285.6172657,18519.66,33491.025,56522.61,40237.92,31526.28,21729.059999999998,7119.45,-718.65,0.0
1789862285.6211207,18518.175,33491.924999999996,56587.005,40263.57,31540.184999999998,21740.309999999998,7134.48,-717.12,0.0
1789862285.621132,18504.719999999998,33468.57,56542.275,40247.415,31530.059999999998,21738.69,7135.605,-723.4649999999999,0.0
1789862285.6260839,18514.035,33470.415,56495.97,40237.424999999996,31530.735,21738.105,7087.005,-723.15,0.0
1789862285.626106,18513.27,33460.244999999995,56470.095,40234.095,31533.75,21734.415,7009.0199999999995,-730.395,0.0
1789862285.6299453,18521.01,33467.04,56469.689999999995,40242.869999999995,31545.855,21743.19,6935.13,-727.8299999999999,0.0
1789862285.6299715,18521.82,33485.085,56449.619999999995,40210.244999999995,31529.879999999997,21738.42,7003.889999999999,-730.8,0.0
1789862285.6339245,18525.825,33492.78,56470.59,40197.689999999995,31532.67,21753.809999999998,7145.054999999999,-722.0699999999999,0.0
1789862285.633943,18520.559999999998,33474.42,56516.31,40202.055,31535.46,21758.445,7209.495,-711.72,0.0
1789862285.6380427,18511.11,33471.405,56517.615,40173.975,31519.395,21738.645,7151.445,-711.18,0.0
1789862285.6380763,18501.704999999998,33477.345,56472.704999999994,40185.36,31486.635,21714.434999999998,7153.38,-720.54,0.0
1789862285.64196,18509.13,33487.695,56506.68,40224.645,31517.954999999998,21731.535,7156.035,-724.8149999999999,0.0
1789862285.6419873,18519.03,33495.165,56563.65,40253.805,31536.045,21742.875,7092.315,-722.115,0.0
1789862285.6452909,18501.704999999998,33466.77,56536.335,40254.21,31527.315,21727.71,7106.175,-728.1899999999999,0.0
1789862285.6453085,18501.48,33462.225,56458.395,40247.46,31512.105,21706.695,7143.48,-727.1999999999999,0.0
1789862285.6519573,18512.19,33480.0,56471.49,40260.195,31557.195,21740.129999999997,7127.19,-724.005,0.0
1789862285.6519802,18514.755,33482.25,56495.97,40264.56,31576.23,21776.445,7112.655,-724.86,0.0
1789862285.654492,18505.934999999998,33483.96,56548.53,40254.659999999996,31500.539999999997,21737.52,7126.92,-728.1899999999999,0.0
1789862285.6545165,18505.934999999998,33476.895,56542.409999999996,40257.36,31525.335,21728.204999999998,7139.7,-720.405,0.0
1789862285.6578305,18511.965,33477.255,56487.509999999995,40212.405,31530.285,21742.335,7139.61,-716.22,0.0
1789862285.6578543,18510.03,33482.88,56488.365,40208.76,31531.454999999998,21743.82,7119.855,-724.68,0.0
1789862285.661865,18513.63,33492.555,56510.145,40266.494999999995,31525.649999999998,21729.87,7102.755,-722.97,0.0
1789862285.6618905,18518.13,33489.945,56517.03,40248.585,31499.91,21710.114999999998,7011.719999999999,-725.9399999999999,0.0
1789862285.6735067,18521.19,33483.869999999995,56533.68,40264.604999999996,31532.985,21723.795,6975.99,-729.495,0.0
1789862285.6735356,18510.03,33472.935,56544.975,40281.525,31540.23,21733.155,7088.13,-731.16,0.0
1789862285.6735787,18496.485,33452.19,56489.534999999996,40239.54,31511.655,21722.399999999998,7178.4,-727.875,0.0
1789862285.6735933,18504.18,33464.34,56487.96,40240.71,31531.094999999998,21748.004999999997,7130.969999999999,-726.525,0.0
1789862285.673614,18516.059999999998,33487.83,56493.405,40227.705,31526.145,21736.844999999998,7056.99,-725.355,0.0
1789862285.6736276,18521.774999999998,33485.58,56494.53,40243.905,31528.079999999998,21723.344999999998,7031.025,-717.7049999999999,0.0
1789862285.67786,18502.695,33445.215,56453.759999999995,40233.96,31513.995,21716.19,7108.155,-721.485,0.0
1789862285.677878,18494.19,33442.965,56427.479999999996,40221.135,31520.655,21731.579999999998,7179.705,-725.895,0.0
1789862285.6814241,18503.594999999998,33476.49,56547.945,40257.674999999996,31537.35,21737.34,7127.73,-726.525,0.0
1789862285.6814413,18503.37,33478.47,56568.825,40266.135,31533.03,21724.739999999998,7106.13,-728.505,0.0
1789862285.6851332,18512.594999999998,33493.095,56446.02,40209.479999999996,31524.885,21727.485,7144.065,-721.755,0.0
1789862285.685148,18501.93,33484.86,56458.71,40214.655,31535.37,21744.045,7156.035,-727.425,0.0
1789862285.6896484,18511.335,33489.135,56529.405,40235.625,31527.27,21736.035,7129.349999999999,-723.87,0.0
1789862285.68966,18515.475,33484.455,56521.71,40233.96,31520.969999999998,21729.915,7119.855,-719.775,0.0
1789862285.693021,18516.825,33486.255,56505.375,40239.405,31536.719999999998,21742.02,7102.755,-717.8399999999999,0.0
1789862285.6930325,18513.135,33477.119999999995,56481.165,40220.909999999996,31526.73,21732.434999999998,7086.78,-723.6899999999999,0.0
1789862285.697389,18514.26,33466.994999999995,56463.84,40230.63,31537.844999999998,21733.965,7063.335,-726.7049999999999,0.0
1789862285.6974103,18527.219999999998,33486.525,56450.7,40245.84,31550.309999999998,21739.094999999998,6984.855,-723.735,0.0
1789862285.701623,18536.13,33522.525,56564.46,40294.755,31571.684999999998,21756.51,7033.634999999999,-714.06,0.0
1789862285.7016351,18504.809999999998,33483.96,56548.935,40265.235,31553.28,21753.18,7174.349999999999,-721.755,0.0
1789862285.7058408,18501.704999999998,33481.53,56540.655,40241.655,31538.835,21739.68,7151.94,-725.985,0.0
